조사년도,법인명,대표학교코드,대표학교명,대학구분,학교구분,지역,설립구분,관련법령,성별,주야구분,우편번호,주소,학교개교일,학교홈페이지,총장명,학교대표전화번호,학교대표팩스번호,학교상태
2017,순총학원,317,순복음총회신학교,대학,각종대학(대학),충북,사립,고등교육법,남녀공학,주야간,27223,충청북도 제천시 덕산면 도전로 320 (도전리),20100308,www.kcc.ac.kr,이상철,043-645-5571,043-642-4530,기존
2017,한국예술종합학교,383,한국예술종합학교,대학,각종대학(대학),서울,특별법국립,특별법국립,남녀공학,주간,2789,"서울특별시 성북구 화랑로32길 146-37 (석관동, 한국종합예술학교)",19921030,www.karts.ac.kr,김봉렬,02-746-9066,02-746-9069,기존
2017,경인교육대학교 법인,256,경인교육대학교,대학,교육대학,경기,국립,고등교육법,남녀공학,주간,13910,"경기도 안양시 만안구 삼막로 155 (석수동, 경인교육대학교)",20050301,www.ginue.ac.kr,이재희,031-470-6114,031-470-6139,기존
2017,공주교육대학교 법인,251,공주교육대학교,대학,교육대학,충남,국립,고등교육법,남녀공학,주간,32553,"충청남도 공주시 웅진로 27 (봉황동, 공주교육대학교)",19380401,www.gjue.ac.kr,안병근,041-850-1377,041-850-1374,기존
2017,광주교육대학교 법인,252,광주교육대학교,대학,교육대학,광주,국립,고등교육법,남녀공학,주간,61204,"광주광역시 북구 필문대로 55 (풍향동, 광주교육대학교)",19630301,www.gnue.ac.kr,고재천(직무대리),062-520-4114,062-524-6022,기존
2017,대구교육대학교 법인,253,대구교육대학교,대학,교육대학,대구,국립,고등교육법,남녀공학,주간,42411,"대구광역시 남구 중앙대로 219 (대명동, 대구교육대학교)",19500325,www.dnue.ac.kr,임청환,053-620-1202,053-651-5369,기존
2017,부산교육대학교 법인,254,부산교육대학교,대학,교육대학,부산,국립,고등교육법,남녀공학,주간,47503,"부산광역시 연제구 교대로 24 (거제동, 부산교육대학교)",19460902,www.bnue.ac.kr,하윤수,051-500-7141,051-505-4908,기존
2017,서울교육대학교 법인,255,서울교육대학교,대학,교육대학,서울,국립,고등교육법,남녀공학,주간,6639,"서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교)",19460522,www.snue.ac.kr,김경성,02-3475-2114,02-581-7711,기존
2017,전주교육대학교 법인,258,전주교육대학교,대학,교육대학,전북,국립,고등교육법,남녀공학,주간,55101,"전라북도 전주시 완산구 서학로 50 (동서학동, 전주교육대학교)",19630301,www.jnue.kr,최경희(총장직무대리),063-281-7114,063-281-0102,기존
2017,진주교육대학교 법인,260,진주교육대학교,대학,교육대학,경남,국립,고등교육법,남녀공학,주간,52673,"경상남도 진주시 진양호로369번길 3 (신안동, 진주교육대학교)",19630101,www.cue.ac.kr,최문성,055-740-1114,055-745-8741,기존
2017,청주교육대학교 법인,261,청주교육대학교,대학,교육대학,충북,국립,고등교육법,남녀공학,주간,28690,"충청북도 청주시 서원구 청남로 2065 (수곡동, 청주교육대학교)",19620217,www.cje.ac.kr,윤건영,043-299-0632,043-299-0797,기존
2017,춘천교육대학교 법인,262,춘천교육대학교,대학,교육대학,강원,국립,고등교육법,남녀공학,주간,24328,"강원도 춘천시 공지로 126 (석사동, 춘천교육대학교)",19390401,www.cnue.ac.kr,이면우,033-260-6165,033-260-6162,기존
2017,정보통신기능대학,579,ICT폴리텍대학,전문대학,기능대학,경기,사립,기능교육법,남녀공학,주간,12777,"경기도 광주시 순암로 16-26 (역동, 한국정보통신기능대학)",20021210,www.ict.ac.kr,이용석,031-764-3301~3302,031-762-3456,기존
2017,한국폴리텍,584,한국폴리텍 대학,전문대학,기능대학,서울,사립,근로자직업능력개발법,남녀공학,주야간,7684,"인천광역시 부평구 무네미로 478 (구산동, 한국폴리텍Ⅱ대학))",19980327,www.kopo.ac.kr,이인배,02-2186-5800,02-2186-5819,기존
2017,가천학원,63,가천대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,13120,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",20120301,www.gachon.ac.kr,이길여,031-750-5114,031-753-8828,기존
2017,인천가톨릭학원,72,가톨릭관동대학교,대학,대학교,강원,사립,고등교육법,남녀공학,주야간,25601,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",19550426,www.cku.ac.kr,천명훈,033-649-7114,033-649-7874,기존
2017,가톨릭학원,46,가톨릭대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,14662,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)",19950301,www.catholic.ac.kr,박영식,02-2164-4114,02-2164-4754,기존
2017,감리교신학원,50,감리교신학대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주간,3745,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",18870929,www.mtu.ac.kr,이환진,02-361-9257,02-361-9006,기존
2017,강남학원,51,강남대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,16979,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",19480812,www.kangnam.ac.kr,윤신일,031-280-3500,031-281-3604,기존
2017,강릉대학교 법인,1,강릉원주대학교,대학,대학교,강원,국립,고등교육법,남녀공학,주간,25457,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",19790301,www.gwnu.ac.kr,반선섭,033-642-7001,033-643-7110,기존
2017,강원대학교 법인,3,강원대학교,대학,대학교,강원,국립,고등교육법,남녀공학,주간,24341,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",19700301,www.kangwon.ac.kr,김헌영,033-250-6114,033-251-9556,기존
2017,건국대학교,52,건국대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주간,5029,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",19310515,www.konkuk.ac.kr,민상기,02-450-3114,02-450-3179,기존
2017,건양학원,54,건양대학교,대학,대학교,대전,사립,고등교육법,남녀공학,주야간,35365,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",19901128,www.konyang.ac.kr,김희수,041-730-5114,041-733-2070,기존
2017,경기학원,56,경기대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,16227,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교)",19471108,www.kyonggi.ac.kr,김기언,031-249-9114,031-243-2194,기존
2017,진주산업대학교 법인,35,경남과학기술대학교,대학,대학교,경남,국립,고등교육법,남녀공학,주야간,52725,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)",19100430,www.gntech.ac.kr,권진택,055-751-3114,055-752-9554,기존
2017,한마학원,59,경남대학교,대학,대학교,경남,사립,고등교육법,남녀공학,주간,51767,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)",19461227,www.kyungnam.ac.kr,박재규,055-245-5000,055-246-6184,기존
2017,경동대학교,60,경동대학교,대학,대학교,강원,사립,고등교육법,남녀공학,주간,24764,"강원도 고성군 토성면 봉포4길 46 (봉포리, 경동대학교)",19970301,www.kduniv.ac.kr,전성용,033-631-2000,033-631-9542,기존
2017,경상대학교 법인,7,경상대학교,대학,대학교,경남,국립,고등교육법,남녀공학,주간,52828,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",19480814,www.gnu.ac.kr,이상경,055-772-1114,055-772-0359,기존
2017,한성(韓星)학원,62,경성대학교,대학,대학교,부산,사립,고등교육법,남녀공학,주간,48434,"부산광역시 남구 수영로 309 (대연동, 경성대학교)",19630128,www.ks.ac.kr,송수건,051-663-4114,051-663-4089,기존
2017,숭선학원,244,경운대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주야간,39160,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교)",20120301,www.ikw.ac.kr,장주석,054-479-1114,054-479-1209,기존
2017,일청학원,64,경일대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주야간,38428,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교)",19961211,www.kiu.ac.kr,정현태,053-600-4000,053-600-4020,기존
2017,원석학원,65,경주대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주야간,38065,"경상북도 경주시 태종로 188 (효현동, 경주대학교)",19871212,www.gju.ac.kr,이순자,054-770-5114,054-748-2784,기존
2017,경희학원,66,경희대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주야간,2447,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",19510518,www.khu.ac.kr,조인원,02-961-0114,02-961-0930,기존
2017,계명대학교,68,계명대학교,대학,대학교,대구,사립,고등교육법,남녀공학,주야간,42601,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스)",19540520,www.kmu.ac.kr,신일희,053-580-5114,053-580-5454,기존
2017,고려중앙학원,69,고려대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주간,2841,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))",19050505,www.korea.ac.kr,염재호,02-3290-1114,02-928-9102,기존
2017,대한예수교장로회총회고려학원,71,고신대학교,대학,대학교,부산,사립,고등교육법,남녀공학,주야간,49104,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교)",19460920,www.kosin.ac.kr,전광식,051-990-2114,051-911-2525,기존
2017,공주대학교 법인,8,공주대학교,대학,대학교,충남,국립,고등교육법,남녀공학,주간,32588,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",19480731,www.kongju.ac.kr,김희수,041-850-8114,041-850-8019,기존
2017,광신학원,73,광신대학교,대학,대학교,광주,사립,고등교육법,남녀공학,주간,61027,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교)",19961211,www.kwangshin.ac.kr,정규남,062-605-1004,062-571-7255,기존
2017,광운학원,74,광운대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주야간,1897,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)",19340520,www.kw.ac.kr,천장호,02-940-5026,02-917-0896,기존
2017,대건학당,75,광주가톨릭대학교,대학,대학교,전남,사립,고등교육법,남녀공학,주간,58230,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교)",19650113,www.gjcatholic.ac.kr,노성기,061-337-2181,061-337-2185,기존
2017,광주과학기술원,381,광주과학기술원,대학,대학교,광주,특별법법인,특별법법인,남녀공학,주간,61005,"광주광역시 북구 첨단과기로 123 (오룡동, 광주과학기술원)",19931117,www.gist.ac.kr,문승현,062-715-2046,062-715-2049,기존
2017,호심학원,231,광주대학교,대학,대학교,광주,사립,고등교육법,남녀공학,주간,61743,"광주광역시 남구 효덕로 277 (진월동, 광주대학교)",20040301,www.gwangju.ac.kr,김혁종,062-670-2302,062-670-2112,기존
2017,송강학원,76,광주여자대학교,대학,대학교,광주,사립,고등교육법,여자,주간,62396,"광주광역시 광산구 여대길 201 (산정동, 광주여자대학교)",19970303,www.kwu.ac.kr,이선재,062-956-2500,062-953-2218,기존
2017,국민학원,78,국민대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주야간,2707,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",19460901,www.kookmin.ac.kr,유지수,02-910-4114,02-910-4169,기존
2017,군산대학교 법인,9,군산대학교,대학,대학교,전북,국립,고등교육법,남녀공학,주간,54150,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",19790118,www.kunsan.ac.kr,나의균,063-469-4113~4,063-469-4110,기존
2017,일현학원,80,극동대학교,대학,대학교,충북,사립,고등교육법,남녀공학,주간,27601,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)",19971205,www.kdu.ac.kr,한상호,043-879-3517,043-879-3519,기존
2017,금강대학교,224,금강대학교,대학,대학교,충남,사립,고등교육법,남녀공학,주간,32906,"충청남도 논산시 상월면 상월로 522 (대명리, 금강대학교)",20021116,www.ggu.ac.kr,한광수,041-731-3025,041-731-3048,기존
2017,금오공과대학교 법인,10,금오공과대학교,대학,대학교,경북,국립,고등교육법,남녀공학,주야간,39177,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",19800301,www.kumoh.ac.kr,김영식,(054)478-7114,(054)478-7100,기존
2017,김천대학교,241,김천대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주간,39528,"경상북도 김천시 대학로 214 (삼락동, 김천대학교)",20100301,www.gimcheon.ac.kr,강성애,054-420-4000,054-420-4003,기존
2017,꽃동네현도학원,215,꽃동네대학교,대학,대학교,충북,사립,고등교육법,남녀공학,주간,28211,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교)",19981130,www.kkot.ac.kr,이원우,043-270-0109,043-270-0117,기존
2017,나사렛학원,81,나사렛대학교,대학,대학교,충남,사립,고등교육법,남녀공학,주야간,31172,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",19540914,www.kornu.ac.kr,임승안,041-570-7871,041-570-7725,기존
2017,우암학원,216,남부대학교,대학,대학교,광주,사립,고등교육법,남녀공학,주간,62271,"광주광역시 광산구 첨단중앙로 23 (월계동, 남부대학교)",19990312,www.nambu.ac.kr,조성수,062-970-0033,062-970-0039,기존
2017,성암학원,245,남서울대학교,대학,대학교,충남,사립,고등교육법,남녀공학,주야간,31020,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교)",19940414,www.nsu.ac.kr,공정자,041-580-2513,041-584-2024,기존
2017,단국대학,82,단국대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주간,16890,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교)",19471103,www.dankook.ac.kr,장호성,1899-3700,031-8021-7106,기존
2017,선목학원,88,대구가톨릭대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주야간,38430,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교)",19950301,www.cu.ac.kr,김정우,053-850-3114,053-359-7000,기존
2017,대구경북과학기술원,382,대구경북과학기술원,대학,대학교,대구,특별법법인,특별법법인,남녀공학,주간,42988,대구광역시 달성군 현풍면 테크노중앙대로 333 (상리),20110302,www.dgist.ac.kr,신성철,053-785-0114,053-785-1219,기존
2017,영광학원,84,대구대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주야간,38453,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)",19560501,www.daegu.ac.kr,홍덕률,053-850-5000,053-850-5009,기존
2017,세기학원,87,대구예술대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주간,39851,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교)",19961211,www.dgau.ac.kr,임채경,054-970-5311,054-973-5319,기존
2017,경북교육재단,225,대구외국어대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주야간,38695,"경상북도 경산시 남천면 남천로 730 (협석리, 대구외국어대학교)",20030301,www.dufs.ac.kr,김수일,053-810-7000,053-811-0836,기존
2017,제한학원,61,대구한의대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주야간,38610,"경상북도 경산시 한의대로 1 (유곡동, 대구한의대학교)",19801229,www.dhu.ac.kr,변창훈,053-819-1000,053-819-1258,기존
2017,대구신학원,93,대신대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주야간,38649,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교)",19961211,www.daeshin.ac.kr,최대해,053-810-0701,053-813-0006,기존
2017,천주교대전교구대지학원,94,대전가톨릭대학교,대학,대학교,세종,사립,고등교육법,남녀공학,주간,30006,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교)",19930301,www.dcatholic.ac.kr,곽승용,044-861-7101,044-861-7106,기존
2017,혜화학원,95,대전대학교,대학,대학교,대전,사립,고등교육법,남녀공학,주간,34520,"대전광역시 동구 대학로 62 (용운동, 대전대학교)",19801229,www.dju.ac.kr,임용철,042-280-2114,042-283-8808,기존
2017,대전신학대학교,238,대전신학대학교,대학,대학교,대전,사립,고등교육법,남녀공학,주간,34432,"대전광역시 대덕구 한남로 41 (오정동, 대전신학대학교)",20090301,www.daejeon.ac.kr,김명찬,042-606-0103,042-621-0821,기존
2017,대진대학교,97,대진대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,11159,"경기도 포천시 호국로 1007 (선단동, 대진대학교)",19911115,www.daejin.ac.kr,이면재,031-539-1114,031-539-1115,기존
2017,덕성학원,99,덕성여자대학교,대학,대학교,서울,사립,고등교육법,여자,주간,1369,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교)",19500517,www.duksung.ac.kr,이원복,02-901-8000,02-908-2251,기존
2017,동국대학교,100,동국대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주야간,4620,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)",19460920,www.dongguk.edu,한태식(보광),02-2260-3011,02-2260-3694,기존
2017,동덕여학단,102,동덕여자대학교,대학,대학교,서울,사립,고등교육법,여자,주야간,2748,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)",19500527,www.dongduk.ac.kr,김낙훈,02-940-4000,02-940-4182,기존
2017,동명문화학원,235,동명대학교,대학,대학교,부산,사립,고등교육법,남녀공학,주간,48520,"부산광역시 남구 신선로 428 (용당동, 동명대학교)",20060301,www.tu.ac.kr,오거돈,051-629-1000,051-629-0619,기존
2017,동서학원,103,동서대학교,대학,대학교,부산,사립,고등교육법,남녀공학,주간,47011,"부산광역시 사상구 주례로 47 (주례동, 동서대학교)",19920302,www.dongseo.ac.kr,장제국,051-313-2001~4,051-312-2329,기존
2017,해인학원,104,동신대학교,대학,대학교,전남,사립,고등교육법,남녀공학,주야간,58245,"전라남도 나주시 건재로 185 (대호동, 동신대학교)",19861231,www.dsu.ac.kr,김필식,061-330-3013,061-330-3019,기존
2017,동아학숙,105,동아대학교,대학,대학교,부산,사립,고등교육법,남녀공학,주야간,49315,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교)",19461101,www.donga.ac.kr,한석정,051-200-6406,051-200-6415,기존
2017,현암학원,106,동양대학교,대학,대학교,경북,사립,고등교육법,남녀공학,주간,36040,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)",19940301,www.dyu.ac.kr,최성해,054-630-1114,054-636-8523,기존
2017,동의학원,107,동의대학교,대학,대학교,부산,사립,고등교육법,남녀공학,주야간,47340,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교)",19790110,www.deu.ac.kr,공순진,051-890-1114,051-890-1234,기존
2017,루터교학원,108,루터대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주간,17072,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교)",19971205,www.ltu.ac.kr,권득칠 총장직무대행,031-679-2300,031-283-1505,기존
2017,명지학원,109,명지대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,17058,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스)",19480907,www.mju.ac.kr,유병진,1577-0020,031-332-2459,기존
2017,감리교학원,112,목원대학교,대학,대학교,대전,사립,고등교육법,남녀공학,주간,35349,"대전광역시 서구 도안북로 88 (도안동, 목원대학교)",19650113,www.mokwon.ac.kr,박노권,042-829-7114,042-825-5020,기존
2017,골롬반학원,221,목포가톨릭대학교,대학,대학교,전남,사립,고등교육법,남녀공학,주야간,58607,"전라남도 목포시 영산로 697 (석현동, 목포가톨릭대학교)",19991217,www.mcu.ac.kr,이재술,061-280-5102,061-280-5109,기존
2017,목포대학교 법인,11,목포대학교,대학,대학교,전남,국립,고등교육법,남녀공학,주간,58554,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",19461031,www.mokpo.ac.kr,최 일,061-450-2114,061-452-4793,기존
2017,목포해양대학교 법인,12,목포해양대학교,대학,대학교,전남,국립,고등교육법,남녀공학,주간,58628,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",19930301,www.mmu.ac.kr,최민선,061-240-7114,061-242-5176,기존
2017,배재학당,113,배재대학교,대학,대학교,대전,사립,고등교육법,남녀공학,주간,35345,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교)",19801229,www.pcu.ac.kr,김영호,042-520-5114,042-533-7354,기존
2017,백석대학교,178,백석대학교,대학,대학교,충남,사립,고등교육법,남녀공학,주야간,31065,"충청남도 천안시 동남구 문암로 76 (안서동, 백석대학교)",19940301,www.bu.ac.kr,최갑종,041-550-9114,041-550-9113,기존
2017,부경대학교 법인,13,부경대학교,대학,대학교,부산,국립,고등교육법,남녀공학,주야간,48513,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",19960706,www.pknu.ac.kr,김영섭,051-629-4114,051-629-5089,기존
2017,성모학원,114,부산가톨릭대학교,대학,대학교,부산,사립,고등교육법,남녀공학,주야간,46252,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교)",19901224,www.cup.ac.kr,김영규,051-515-5811,051-514-1576,기존
2017,해당없음,14,부산대학교,대학,대학교,부산,국립,고등교육법,남녀공학,주간,46241,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",19460515,www.pusan.ac.kr,전호환,051-512-0311,051-512-3368,기존
2017,성지학원,115,부산외국어대학교,대학,대학교,부산,사립,고등교육법,남녀공학,주야간,46234,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교)",19820312,www.bufs.ac.kr,정해린,051-509-5252,051-509-5260,기존
2017,부산장신대학교,222,부산장신대학교,대학,대학교,경남,사립,고등교육법,남녀공학,주간,50883,경상남도 김해시 김해대로 1894-68 (구산동),20001129,www.bpu.ac.kr,김용관,055-320-2500,055-339-1161,기존
2017,삼육학원,116,삼육대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주간,1795,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교)",19620227,www.syu.ac.kr,김성익,02-3399-3392,02-3399-3398,기존
2017,상명학원,117,상명대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주야간,3016,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",19650113,www.smu.ac.kr,구기헌,02-2287-5114,02-2287-0015,기존
2017,상지학원,119,상지대학교,대학,대학교,강원,사립,고등교육법,남녀공학,주야간,26339,"강원도 원주시 상지대길 83 (우산동, 상지대학교)",19740402,www.sangji.ac.kr,오승석(직무대행),033-730-0114,033-745-2433,기존
2017,서강대학교,120,서강대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주간,4107,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",19600418,www.sogang.ac.kr,유기풍,02-705-8114,02-705-8112,기존
2017,서경대학원,121,서경대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주간,2713,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교)",19920901,www.skuniv.ac.kr,최영철,02-940-7114,02-919-0345,기존
2017,서남학원,122,서남대학교,대학,대학교,충남,사립,고등교육법,남녀공학,주간,31556,"충청남도 아산시 송악면 평촌길 7-111 (평촌리, 서남대학교)",20020308,asan.seonam.ac.kr,김경안,063-620-0031,063-620-0113,기존
2017,서울과학기술대학교 법인,36,서울과학기술대학교,대학,대학교,서울,국립,고등교육법,남녀공학,주야간,1811,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교)",20120301,www.seoultech.ac.kr,김종호,02-970-7114,02-970-6088,기존
2017,환원학원,98,서울기독대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주야간,3422,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교)",19971205,www.scu.ac.kr,이강평,02-380-2516,02-380-2535,기존
2017,서울대학교 법인,19,서울대학교,대학,대학교,서울,국립대법인,고등교육법,남녀공학,주간,8826,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",19460822,www.snu.ac.kr,성낙인,02-880-5114,02-885-5272,기존
2017,서울시립대학교 법인,40,서울시립대학교,대학,대학교,서울,공립,고등교육법,남녀공학,주간,2504,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교)",19180501,www.uos.ac.kr,원윤희,02-6490-6114,02-6490-6439,기존
2017,서울신학대학교,125,서울신학대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주야간,14754,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교)",19590226,www.stu.ac.kr,노세영,032-340-9114,032-349-9400,기존
2017,정의학원,126,서울여자대학교,대학,대학교,서울,사립,고등교육법,여자,주야간,1797,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교)",19601212,www.swu.ac.kr,전혜정,02-970-5114,02-970-7931,기존
2017,광명학원,127,서울장신대학교,대학,대학교,경기,사립,고등교육법,남녀공학,주간,12749,"경기도 광주시 경안로 145 (경안동, 서울장신대학교)",19841221,www.sjs.ac.kr,안주훈,031-799-9113,031-765-1232,기존
2017,한일학원,205,한영신학대학교,대학,대학교,서울,사립,고등교육법,남녀공학,주야간,8274,"서울특별시 구로구 경인로 290-42 (개봉동, 한영신학대학교)",19961111,www.hytu.ac.kr,이억범,02-2067-4500,02-2616-4102,기존
2017,서원학원,128,서원대학교,대학,대학교,충북,사립,고등교육법,남녀공학,주간,28674,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교)",19680309,www.seowon.ac.kr,손석민,043-299-8114,043-283-8822,기존
